a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2021,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,146,76,70,5,3,9,13,6,7,17,1,16,1,2,7,10,0,3,14,6,26,69,14
2021,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,418,197,221,25,22,34,37,25,32,57,26,25,4,2,6,25,0,5,13,30,50,99,131
2021,1,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,1,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,252,92,160,16,8,12,14,11,14,43,18,12,1,0,0,14,0,3,4,28,54,57,23
2021,1,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,137,56,81,12,3,7,11,8,16,28,12,6,2,0,1,9,0,0,1,14,7,55,35
2021,1,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,515,109,406,62,28,40,39,33,46,53,38,34,3,2,1,53,0,2,6,63,12,218,46
2021,1,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,581,268,313,34,22,67,32,39,57,99,33,46,2,4,9,51,1,4,7,45,29,177,140
2021,1,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,210,53,157,18,14,10,8,9,9,28,10,18,1,0,2,18,0,1,3,18,43,75,39
2021,1,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,176,27,149,22,10,19,14,7,19,35,14,10,0,0,0,15,0,1,3,6,1,76,93
2021,2,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,400,107,293,9,15,22,34,13,29,52,10,21,5,3,9,38,2,7,35,35,61,216,110
2021,2,101313,ARQUITECTURA,Presencial,479,255,224,16,10,23,31,23,18,64,21,43,7,6,13,34,4,6,22,17,121,246,187
2021,2,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,399,81,318,12,8,25,18,14,37,37,11,28,4,4,5,19,1,6,20,15,135,251,103
2021,2,17498,BIOTECNOLOGÍA,Presencial,204,67,137,6,5,9,11,12,12,20,6,10,3,3,5,11,1,2,13,12,63,108,66
2021,2,6644,CONSTRUCCIONES CIVILES,Presencial,565,362,203,32,13,27,38,19,35,65,25,36,3,4,12,49,2,9,22,39,135,311,195
2021,2,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,13,6,7,0,0,2,0,0,0,1,1,1,1,0,1,0,0,1,4,0,1,6,0
2021,2,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,15,7,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,12,12,0
2021,2,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,28,13,15,0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,1,20,18,13
2021,2,54263,INGENIERIA AMBIENTAL,Presencial,500,156,344,21,11,25,34,31,37,55,15,34,7,3,11,43,1,4,22,30,116,303,224
2021,2,106264,INGENIERÍA COMERCIAL,Presencial,143,67,76,7,4,10,8,6,13,21,4,15,1,0,5,14,0,0,5,10,20,64,54
2021,2,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,586,192,394,109,18,32,57,25,52,79,10,35,2,4,14,43,1,5,19,50,31,328,102
2021,2,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,187,98,89,7,3,10,19,10,13,23,3,18,1,2,7,13,0,4,15,11,28,107,16
2021,2,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,384,186,198,24,16,31,26,25,30,58,27,22,5,3,5,21,0,8,10,28,45,129,101
2021,2,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,2,106102,TECNOLOGÍA EN GESTIÓN AMBIENTAL,Virtual,198,76,122,16,9,8,12,8,14,36,12,10,1,0,1,15,0,2,5,31,18,49,56
2021,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,128,52,76,11,5,7,9,8,13,24,11,8,1,0,0,6,0,0,2,19,4,59,23
2021,2,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,467,101,366,56,20,29,27,30,62,47,35,28,3,2,5,47,0,2,6,60,8,183,92
2021,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,454,213,241,27,24,46,22,34,34,80,25,40,1,3,8,39,1,3,7,38,22,131,122
2021,2,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,215,50,165,22,12,14,10,12,24,26,10,20,0,0,2,20,0,1,5,16,21,58,89
2021,2,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,247,36,211,35,14,16,17,15,41,41,12,10,1,0,5,17,0,2,4,15,2,125,142
2022,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,392,111,281,15,17,23,35,16,27,49,11,15,3,2,8,38,2,7,37,31,56,155,161
2018,2,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,402,101,301,7,6,34,29,12,19,59,5,19,7,9,17,27,0,1,24,25,102,141,119
2018,2,101313,ARQUITECTURA,Presencial,498,276,222,8,10,25,23,27,20,56,18,41,14,8,14,25,2,4,26,19,158,143,86
2018,2,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,300,52,248,4,5,13,12,23,14,32,8,18,7,2,6,17,0,7,15,12,105,129,45
2018,2,17498,BIOTECNOLOGÍA,Presencial,140,47,93,6,1,6,9,11,6,19,4,7,1,1,3,5,0,0,9,5,47,65,45
2018,2,6644,CONSTRUCCIONES CIVILES,Presencial,625,398,227,19,17,29,42,26,38,70,21,23,9,4,12,39,1,10,21,37,207,135,207
2018,2,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,16,9,7,0,1,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,8,15,0
2018,2,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,12,7,5,0,0,0,0,0,0,2,1,0,2,3,0,0,0,0,1,0,3,12,0
2018,2,54780,ESPECIALIZACION EN MICROBIOLOGIA AMBIENTAL,Presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,41,18,23,0,1,3,1,1,2,7,3,7,0,0,0,2,0,0,1,8,5,5,0
2018,2,54263,INGENIERIA AMBIENTAL,Presencial,637,211,426,16,16,35,28,32,33,84,15,40,10,4,8,29,1,7,18,38,223,221,340
2018,2,106264,INGENIERÍA COMERCIAL,Presencial,44,23,21,4,1,3,7,0,4,8,1,5,0,0,0,2,0,1,2,2,4,10,32
2018,2,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,517,159,358,27,15,26,35,22,51,84,8,28,5,6,12,31,1,4,25,58,79,103,8
2018,2,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,33,19,14,2,0,2,0,1,1,4,1,4,0,2,2,4,0,1,1,4,4,21,4
2018,2,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,443,240,203,38,17,26,35,28,35,45,29,30,6,2,7,28,1,3,12,26,75,143,182
2018,2,53915,TECNOLOGIA EN GASTRONOMIA,Presencial,30,20,10,1,0,4,2,0,1,2,2,1,1,0,3,1,0,1,0,3,8,6,1
